509625,347460,124070,218816,131,48,107345,37,475942,361616,107630,250644,150,48,66475,31
316184,217766,86072,127284,66,37,55309,21,332173,240565,69312,168236,84,37,51513,21
280677,185982,75759,104852,55,33,56661,22,274291,183692,61973,117338,62,33,53883,20
24318,12149,9380,2090,0,1,1533,0,19938,9724,7436,1590,0,1,1304,0
664347,534213,145754,384880,202,71,63836,46,533799,424528,103388,319626,251,71,48271,30
252592,165762,64251,99379,72,35,42930,21,233813,166328,55112,109594,82,35,28980,20
1123811,917093,234574,678032,502,148,87019,85,1142432,970903,133036,833540,632,148,57838,37
190219,99613,58770,39444,28,14,61791,12,134392,72216,32648,38442,28,14,36424,12
569821,420002,127280,289563,234,78,66803,53,576768,428681,82759,344196,281,78,58522,33
1071831,859705,251633,604188,474,156,71833,83,976776,807103,76537,729425,612,156,57901,38
665283,485276,99208,382794,303,104,92482,64,665727,521025,60378,459394,370,104,63933,36
129686,79745,28041,50235,36,21,16172,14,117204,76537,26104,49286,36,21,13412,14
349051,243042,75890,164957,114,53,46228,34,305934,213862,45112,167393,154,53,45559,28
678132,490005,144982,342117,358,104,99035,71,599683,468118,50496,416118,437,104,53280,37
48629,25330,19240,1060,0,1,11402,0,15668,3262,2504,612,0,1,3457,0
315876,136197,38611,96859,90,40,114030,28,195383,123526,25684,97370,103,40,35028,24
506134,355322,74027,280062,288,105,61696,59,569884,433774,51218,382084,406,105,58911,35
256399,179670,48192,130831,134,47,29967,38,422248,178030,35611,141927,150,47,33843,29
179701,117427,39279,77565,76,34,25023,24,148568,95013,22371,72198,74,34,17537,20
250383,151398,41045,109685,111,38,55388,32,250783,148293,33528,114294,124,38,63898,28
291965,208370,50412,156980,170,67,20517,38,319147,239862,34062,205295,223,67,22563,30
21635,6890,5255,1533,1,1,2110,1,20609,5567,2650,1143,1,1,1526,1
18385,6793,3094,1636,1,1,1912,1,14867,3668,2477,1069,1,1,3209,1
13866,4731,3698,889,0,1,207,0,12198,2800,2068,594,0,1,132,0
202250,136183,46934,88555,81,40,26270,27,175185,113881,25586,87850,88,40,24374,21
142239,86841,36034,50140,52,27,25220,21,139899,87734,25706,60026,62,27,25642,20
17020,4949,3336,1510,1,1,2036,1,14767,5397,4200,1087,1,1,1452,1
218756,133222,42564,89892,85,49,34235,24,227150,145189,29904,114819,123,49,42251,21
100392,65471,17529,47575,30,14,13400,14,72810,44251,14793,27518,30,14,8961,14
207288,118558,35162,79990,78,38,50662,28,211066,132053,44165,87364,93,38,31602,25
585139,442143,108145,332581,347,130,46471,69,610592,460540,50913,408839,471,130,46611,35
134601,68510,21224,46877,47,24,36986,17,142612,70640,19128,51079,47,24,34329,17
17985,6101,4372,1586,1,1,1875,1,14194,4693,3575,1007,1,1,1478,1
16851,5912,4466,1336,1,1,1659,1,14570,5856,1962,3781,1,1,1485,1
12406,3150,2220,815,0,1,181,0,9698,2257,1612,547,0,1,143,0
198277,131842,34254,96905,80,36,30437,30,174261,119411,24896,94076,99,36,22666,26
15205,3864,2438,1299,1,1,1778,1,13519,2931,1880,919,1,1,1392,1
13891,2963,2022,813,0,1,148,0,9320,2166,1513,518,0,1,109,0
