5277693,4792810,566517,4210379,5589,1346,204114,346,5257757,4940664,223015,4706531,5791,1346,83626,40
3133967,2891006,356948,2528139,3289,816,93641,258,2673149,2499336,140764,2357599,3483,816,31105,40
907756,791213,126029,662155,866,252,63861,120,991675,889990,68301,820324,1043,252,51590,40
66991,45705,21503,23633,25,10,11278,12,55111,34018,10988,22511,25,10,15032,12
51254,29716,12535,16617,15,10,12544,8,39315,24332,9462,14397,15,10,8976,8
2328847,2124121,256562,1863177,2598,661,88879,224,7259500,7110460,116513,6992593,2913,661,31664,40
980314,846168,134867,708507,1332,381,65179,150,1028806,918929,77496,840749,1652,381,39105,40
1240881,1127571,162703,959880,1540,424,44011,167,1044652,934805,72303,861851,1806,424,51239,40
2844333,2617838,310203,2303040,4715,1172,73019,321,2580924,2418811,149022,2269232,4956,1172,21873,40
2841202,2611366,287083,2319633,4769,1163,74523,319,2787316,2617486,150520,2466237,5065,1163,22747,40
2913158,2693988,299464,2389675,4761,1194,60432,316,2856955,2688139,162417,2524805,5076,1194,20044,40
143211,96746,26656,69214,112,44,28779,31,127647,95337,19884,74868,129,44,22475,26
2115817,1928504,220555,1703870,3179,785,77460,246,2295438,2140252,117472,2021712,3457,785,30771,40
2030532,1824024,238636,1580812,3207,823,88906,253,1957213,1798291,127674,1669586,3467,823,50285,40
1165579,1043565,157621,882420,1730,484,51484,189,1106921,1013352,86107,926483,1941,484,25604,40
2402265,2186948,261350,1920177,3868,1023,70447,290,2301216,2124618,156354,1967280,4184,1023,29114,40
447676,384821,68436,314177,641,205,27927,95,485092,434149,38989,394286,853,205,21642,37
1590056,1428041,185035,1239042,2584,661,70159,224,1561107,1439407,121326,1316877,2872,661,37019,40
437755,371252,68819,300330,605,197,27661,94,485122,437244,39249,397266,836,197,20044,39
55429,34419,10187,23636,24,10,12416,10,37474,22656,8405,13790,24,10,9861,10
570056,500029,82535,415161,858,254,30637,112,637787,578518,48764,528874,1136,254,24649,40
884136,771693,127358,641379,1322,351,52991,149,926726,817614,59994,756876,1627,351,60083,40
849990,764521,107566,653864,1263,355,29343,144,890100,819847,60923,758113,1532,355,16112,40
1725446,1501123,198393,1298313,2634,725,122444,226,1672212,1536834,109548,1426455,2990,725,40192,40
3383771,3119635,333981,2779446,5653,1387,73088,352,3118159,2914253,170530,2742437,5959,1387,20427,40
1152767,976178,167293,805229,1991,517,98479,198,986191,883494,77702,804847,2205,517,30810,40
85642,58686,48492,9591,14,10,17455,8,25833,13830,6608,6763,14,10,6509,8
31110,16432,7314,8540,12,10,7095,5,21711,11881,4937,6505,12,10,4925,5
1625095,1448080,211724,1231510,2537,666,69145,224,1374770,1219153,101940,1116227,2791,666,29742,40
47355,21630,11910,9168,14,10,15899,7,22867,12713,5294,6938,14,10,4809,7
1147973,991779,284760,703618,1723,491,78865,184,992399,885140,114568,769797,2042,491,40008,40
1508206,1299650,271099,1024711,2690,667,92708,228,1334316,1206301,162635,1042921,2883,667,34096,40
1076083,913269,175688,734522,1923,509,86719,192,1018069,908362,110619,797076,2151,509,33267,40
2151631,1933747,347611,1581723,4358,1070,72740,305,1847738,1669456,179807,1489067,4501,1070,47205,40
1967276,1751608,285040,1462232,4375,1113,73322,308,1781265,1639669,183454,1455526,4622,1113,12695,40
33534,18291,8220,9622,20,10,7059,9,24216,13823,5893,7503,20,10,5308,9
175547,134809,40810,92951,234,75,25250,50,172483,135854,27474,107857,301,75,24029,35
2041492,1857107,297442,1555513,4762,1212,37276,320,1915039,1765171,186556,1578050,5045,1212,10415,40
29405,15618,8099,7058,12,10,6022,7,20884,11870,5716,5746,12,10,4322,7
30766,18853,8623,9801,21,10,4982,10,23521,15186,6692,8093,21,10,3652,10
1164892,1032749,184634,845069,2497,629,41622,219,1058474,962711,108164,853868,2658,629,15985,40
3881237,3680351,281230,3394611,3661,967,61880,273,1847551,1760949,174269,1586074,4108,967,21722,40
1831659,1716799,285484,1427181,4064,979,47450,291,1667514,1594071,162747,1430713,4363,979,13016,40
798493,707679,140028,565038,1530,418,57166,163,936184,709551,81998,626920,1844,418,21203,40
1244019,1153126,204420,944923,2657,690,42384,232,1149527,1085927,124208,961094,2877,690,14065,40
220670,180932,51433,128100,321,105,28378,70,227913,194698,48044,146109,398,105,21717,37
29024,17871,8501,8949,16,10,7032,8,21164,13656,6315,7019,16,10,5405,8
1073070,982129,188756,790465,2302,602,50940,210,956649,894807,102654,791570,2438,602,24773,40
1304709,1210158,211875,994931,2957,756,44265,243,1201516,1141015,123881,1016521,3287,756,16150,40
1497439,1400259,240673,1155828,3570,922,40046,272,1430794,1360925,142930,1217412,3963,922,17111,40
739005,668476,140848,525078,1540,449,40144,172,711637,668201,79572,588025,1870,449,16739,40
2097225,1956559,326448,1625729,5047,1269,63113,332,1937064,1847578,193068,1653909,5248,1269,17389,40
1762502,1657485,284723,1368576,4219,1061,39022,296,1628471,1555122,161724,1392812,4449,1061,10881,40
1029798,956804,177766,776218,2317,587,33400,215,976418,924837,104584,819578,2592,587,12684,40
2798362,2627346,408307,2213820,6810,1670,56628,389,2516378,2411165,254969,2155593,6977,1670,10763,40
928353,846330,153919,689629,2034,538,45277,195,895620,852801,95368,756887,2346,538,9777,40
749784,686927,132690,551736,1651,428,33023,167,716376,678278,78024,599664,1884,428,12060,40
566787,502123,107985,392045,1111,303,42448,138,540791,498539,64679,433358,1335,303,23352,40
1429808,1324768,250385,1070741,3146,827,48589,256,1295208,1227132,140417,1086134,3421,827,20004,40
901141,825026,158800,663428,2039,576,38947,201,885493,835519,93981,740989,2376,576,17047,40
230321,196824,50424,145128,408,133,21633,69,240012,214697,34827,179390,554,133,16238,37
25803,17057,8503,8118,16,10,4878,8,18310,13029,6389,6305,16,10,3397,8
987227,903229,166938,733558,2243,562,47489,202,920202,873408,94746,778096,2541,562,14368,40
30050,18314,9936,7967,14,10,7830,9,22931,14519,7696,6446,14,10,5815,9
27274,17111,7000,9710,21,10,6370,9,20325,13289,5248,7659,21,10,5069,9
764421,701102,137552,561168,1656,436,34497,172,724526,677152,80928,595692,1908,436,14248,40
2150206,2022696,315431,1702768,5111,1250,45125,334,2005818,1919750,199172,1720014,5374,1250,13040,40
1189533,1077858,199135,875602,2510,647,68488,223,1110058,1048295,112237,935439,2850,647,20839,40
22553,15956,8573,6914,5,10,3289,4,14020,10238,5914,3901,5,10,1994,4
30400,18311,8553,9315,19,10,9095,9,21548,14492,6570,7519,19,10,5251,9
29001,18440,8647,9358,19,10,7542,10,25347,15625,6825,8410,19,10,7877,10
1431024,1332331,227726,1100853,3237,841,44311,266,1340481,1280120,145882,1133685,3499,841,10519,40
25069,16775,8405,7942,15,10,3834,8,16650,12265,5594,6313,15,10,2537,8
917508,853448,158772,691762,2035,531,29284,194,879894,830198,105873,723793,2376,531,18454,40
735799,662828,135540,524962,1533,419,43696,171,701083,658422,81790,576110,1798,419,17447,40
757166,700316,138225,559539,1637,445,26791,178,719503,681532,80174,600791,1869,445,10936,40
1029238,943106,190818,749278,2153,627,44851,209,993259,931835,111304,819913,2520,627,24512,40
2806803,2736032,118770,2614903,1032,301,47093,136,506405,466691,59736,406435,1242,301,20179,40
646055,586249,138197,445788,1278,378,33580,152,649631,609481,99214,509649,1552,378,16402,40
34499,23098,10297,12344,27,10,8296,10,25557,17676,7050,10266,27,10,6005,10
599600,544027,116653,425262,1198,355,31089,144,594188,545755,69831,475361,1486,355,12974,40
28423,17681,9220,8002,14,10,6027,9,19247,13102,6442,6278,14,10,4356,9
27473,17887,8052,9467,18,10,6841,9,20810,13958,6154,7454,18,10,5109,9
114136,87802,29059,57891,139,61,20234,39,104242,84639,20565,63595,164,61,14713,26
1554822,1454185,242391,1208262,3584,910,43405,271,1430786,1352708,146982,1205131,3891,910,11883,40
1547455,1435771,250896,1181308,3498,891,55631,270,1393438,1321666,153683,1167359,3672,891,19914,40
902726,837506,159588,675128,1995,531,30229,197,845343,801544,90430,710520,2232,531,12186,40
25104,15889,7884,7585,13,10,6320,7,21411,12253,5763,6131,13,10,7301,7
1587326,1485894,262443,1219754,3536,934,41626,277,1469607,1397568,158443,1238458,3798,934,15057,40
1076718,997051,178550,815664,2369,608,38578,215,964908,918559,105879,812134,2567,608,10017,40
1018493,909559,178556,727327,2123,582,43575,208,921301,867469,99997,766865,2378,582,19960,40
30032,19924,10285,9201,17,10,7101,11,21602,14821,7366,7078,17,10,4948,11
1422695,1324564,229063,1092185,3265,829,46092,257,1289599,1228607,134896,1093097,3470,829,12491,40
2665814,2504746,382069,2117689,6433,1599,62200,378,2530845,2418337,254459,2163219,6671,1599,14404,40
213796,179213,55128,122864,315,114,23556,62,216027,190023,34825,154678,424,114,17594,37
1324927,1217477,215065,999135,2750,723,58580,229,1239195,1168793,135312,1032907,3069,723,24765,40
1932603,1796529,309939,1482318,4134,1087,61529,300,1789185,1702242,196327,1505264,4363,1087,19816,40
578843,519412,114263,402841,1058,313,35182,125,607964,562405,73181,488599,1370,313,24498,40
27348,17572,9532,7594,11,10,6345,7,18974,12657,6409,5865,11,10,4344,7
438277,395570,82976,310761,812,209,25561,111,424320,399750,64807,334382,986,209,10170,40
1500405,1380756,235625,1141595,3234,816,64072,252,1410551,1333302,152903,1179720,3501,816,25765,40
