543814,481413,55877,424509,171,48,61560,9
488524,417535,53980,362587,156,37,70149,10
362775,288403,47705,239870,95,33,73565,9
26863,24443,15773,7766,0,1,1628,0
868722,788723,71776,716123,339,71,79198,10
444489,357195,61304,294925,147,35,86276,9
1372801,1272026,115787,1155244,650,148,99798,10
167863,114188,33842,79408,40,14,52841,6
679541,622385,72779,548727,341,78,56317,10
1248386,1195508,120594,1073891,640,156,52028,10
831916,768553,90314,677189,404,104,62457,10
189709,149364,40059,108219,60,21,39499,7
509318,442263,62562,378721,222,53,66117,10
952694,871980,89271,781627,466,104,79668,10
27150,24469,17551,6052,0,1,1832,0
402641,350762,53172,296644,173,40,50903,10
964821,910336,104000,805224,452,105,53558,10
429597,387033,66571,319427,200,47,41719,9
277241,239473,45882,192594,110,34,36918,8
421759,372480,48251,323117,171,38,48481,10
594938,552233,67684,483461,273,67,41941,10
44617,26029,17281,7838,1,1,17696,1
31031,23993,15354,7758,1,1,6271,1
23205,20779,14270,5614,0,1,1717,0
343344,290026,50076,239026,140,40,52447,10
240384,208132,40896,166317,94,27,31379,9
31687,23554,15356,7294,1,1,7355,1
429915,394935,50780,343217,204,49,34146,10
183473,141387,31119,109211,48,14,41279,8
295419,262843,44255,217595,124,38,31795,9
929415,895193,98321,794308,522,130,33408,10
221186,186013,36295,148796,99,24,34283,10
40544,23941,15297,7716,1,1,15870,1
38712,24907,16487,7497,1,1,13039,1
25088,22601,15864,5862,0,1,1727,0
319181,284684,45929,237752,149,36,33628,10
32768,26473,15664,9885,1,1,5562,1
36643,20138,13788,5462,0,1,15774,0
181618,153894,34064,118923,71,20,26844,8
1600080,1563384,155236,1407086,899,220,35808,10
35200,28773,19296,8470,1,1,5595,1
437319,399855,50437,348450,222,48,36601,10
76689,49067,23695,24412,9,7,26825,3
392380,346875,47666,298227,184,45,44544,10
678470,649230,69214,579083,372,81,28228,10
130317,97363,31411,64980,35,17,32114,6
414072,368540,51356,316246,229,52,44602,10
455469,425437,59679,364798,269,67,29206,10
133648,115742,29091,85715,55,21,17096,6
105605,86602,31365,54420,34,12,18192,6
618823,589411,75599,512968,390,96,28573,10
855634,825079,88767,735444,533,121,29665,10
379186,337140,60980,275125,184,44,41208,10
508041,473625,59524,413275,314,67,32310,10
318986,288631,50071,237691,148,41,29501,10
598029,569059,82348,485851,349,96,28051,10
587733,556654,68261,487520,352,81,30234,10
560219,527871,75960,450998,334,87,31537,10
31149,25263,16032,8586,1,1,5093,1
81713,65023,23753,40504,27,10,15883,5
134658,107843,30879,76066,57,17,26051,8
251738,220991,40560,179630,143,34,29918,10
247769,219107,41789,176454,140,34,27820,10
286172,259325,45322,213158,184,41,26033,9
491051,457931,65622,391432,312,77,32227,10
275885,246138,49735,195616,160,37,28943,10
831076,800878,92472,707588,600,130,29372,10
452551,423093,66848,355538,295,74,28639,10
435412,407919,56573,350513,295,61,26512,10
213567,184006,37417,145852,126,27,28804,9
377636,348658,66655,281187,235,57,28185,9
22424,20198,14523,5030,0,1,1531,0
20601,18463,12786,4953,0,1,1440,0
53053,44183,18853,16914,4,6,8154,2
71777,54460,23956,29638,18,6,16508,5
363466,335230,49015,285649,225,50,27326,10
29925,24314,17001,6894,1,1,4859,1
27539,19775,14484,4924,0,1,7064,0
26986,19468,12778,6303,1,1,6808,1
269564,242092,40502,201086,150,39,26688,9
491607,461570,67398,393635,312,75,29191,10
109877,89318,28882,59985,38,16,19696,6
335771,305922,48448,256895,190,48,29012,10
62737,47420,20966,25931,12,7,14441,4
660017,630389,80941,548953,447,100,28773,10
33106,28441,19032,8848,0,1,3763,0
415562,384209,58859,324717,264,63,30473,10
42438,33771,18301,14905,5,4,7842,2
32154,26369,19206,6628,1,1,5005,1
628441,596494,80218,515758,417,97,31046,10
458365,429480,67111,361825,281,76,27974,10
712618,681973,90090,591252,450,106,29767,10
649222,617649,72948,543918,447,96,30492,10
131705,105115,29796,74684,54,16,25639,7
46348,36611,22026,13791,1,1,5124,1
547303,518774,61285,456842,387,96,27568,10
223344,192779,34704,157177,58,15,29556,8
242119,212030,57336,154098,168,42,29146,10
25002,19322,14350,4568,1,1,4726,1
292777,263799,45118,218070,241,53,28058,10
430243,403153,59308,343291,380,86,26062,10
318753,288420,53442,234415,275,74,29388,10
26045,19183,14177,4542,1,1,5955,1
450478,422595,65899,356178,425,101,26903,10
692792,664397,85875,577895,715,152,27544,10
244140,217177,44089,172585,197,48,25986,10
370408,340396,60422,279324,313,73,29092,10
171562,143697,34583,108513,121,28,26837,9
589108,560413,74623,485225,552,120,27672,10
700185,671988,96887,574528,690,167,27198,10
264699,239475,48858,190058,228,59,24313,9
217020,186563,40275,144130,139,33,29387,10
294890,265034,50879,213589,259,64,28746,10
290467,263140,115781,146823,172,45,26496,10
554478,526183,55566,470005,569,126,27305,10
27279,21216,13690,7043,1,1,5216,1
298127,268496,27620,240318,267,58,28663,10
314447,283994,30500,252918,310,75,28050,10
262892,234098,24714,208917,248,57,27815,10
135570,109184,17528,91206,98,29,25433,9
14806,12423,8406,3618,0,1,1622,0
166895,140536,20004,120182,144,39,25578,9
267222,239971,25571,213890,227,68,26342,10
19999,14852,8394,4224,1,1,4375,1
244985,218463,23851,194145,220,61,25746,10
224180,198803,20838,177467,221,47,24528,9
195834,166812,21415,144907,171,45,28193,9
350405,321739,29170,291944,347,80,27885,10
280929,253604,24223,228856,269,55,26438,10
409790,382623,28994,353162,436,92,26385,10
224929,198799,21007,177382,218,40,25310,10
101918,78433,16502,61472,69,16,22645,9
19186,12471,8091,3889,1,1,5836,1
299629,270039,31273,238218,276,71,28396,10
240994,212895,25183,187251,230,59,27110,9
