7448220,7387413,684836,6701291,5791,1346,59525,10
4301659,4223222,428054,3793838,3483,816,76727,10
1287108,1226240,134040,1091140,1043,252,59894,10
172002,101663,40449,60345,47,10,69444,8
122435,75382,31499,42913,25,10,46265,6
3170345,3110147,280742,2828292,2913,661,59205,10
1813504,1754170,183781,1569464,1652,381,58203,10
1950256,1905235,201528,1702248,1806,424,44029,10
5297843,5245897,612132,4632576,4956,1172,50783,10
4947021,4899235,522911,4375119,5065,1163,46218,10
4979733,4920027,527102,4391312,5076,1194,58128,10
797935,750626,405752,343394,184,44,46173,10
3628083,3564029,370626,3191652,3457,785,62370,10
3464248,3422710,392809,3027932,3467,823,39626,10
2050942,2003455,252989,1749159,1941,484,46105,10
8482327,8384212,494738,7888336,4184,1023,96665,10
1012556,963025,184048,777928,885,205,47907,10
1913526,1875636,274222,1600573,2872,661,36627,10
556208,527002,98660,427553,836,197,28142,10
94410,65606,35752,29292,31,10,27966,6
614843,582546,126432,455491,1136,254,31233,10
810773,773601,149523,623471,1627,351,35915,10
786699,766428,155549,610215,1532,355,19240,10
1491976,1455023,291604,1162743,2990,725,35782,10
2775446,2753759,526650,2226324,5959,1387,20449,10
1082456,1061701,220463,840408,2205,517,19563,10
66528,41912,24799,16634,21,10,23713,5
44459,34403,21152,12700,12,10,9268,4
1339170,1310085,271892,1037532,2791,666,28060,10
60725,41824,23393,17812,25,10,17986,5
1019202,999069,218607,779747,2042,491,19183,10
1342882,1323341,267973,1054645,2883,667,18475,10
1070347,1043695,217630,825360,2151,509,25589,10
2179675,2159243,445362,1712947,4501,1070,19200,10
2639228,2619501,456509,2161996,4622,1113,18500,10
83826,70981,32751,37467,39,10,11861,6
194778,178147,53306,124232,332,75,15765,10
2133857,2118948,484754,1633464,5045,1212,13946,10
45721,36262,21691,13821,20,10,8561,5
49370,37941,20818,16637,30,10,10644,6
1106869,1091899,251761,839519,2658,629,14107,10
1676747,1662074,371617,1289794,4108,967,13705,10
1749589,1733330,365273,1367432,4363,979,15233,10
790186,774826,173774,600420,1844,418,14404,10
1198733,1183493,264662,918115,2877,690,14332,10
214172,198508,59149,138769,421,105,14813,10
79443,69509,53843,15184,22,10,9057,5
1041063,1022483,232771,789063,2438,602,17657,10
1332432,1317227,276630,1039932,3287,756,14205,10
1615428,1599434,353470,1245207,3963,922,15009,10
799657,778126,179464,598024,1870,449,20538,10
2193141,2134222,469920,1663413,5248,1269,57935,10
1849488,1818428,397915,1419706,4449,1061,30072,10
1118521,1096434,244055,851669,2592,587,20010,10
2957677,2936918,631592,2304549,6977,1670,19764,10
1361739,1341930,229754,1111350,2346,538,18766,10
857574,840649,182138,657780,1884,428,16043,10
572306,555505,124707,430185,1335,303,15912,10
1428889,1412923,322686,1089612,3421,827,14989,10
997999,981765,223932,757226,2376,576,15345,10
275208,258979,66225,192159,593,133,15363,10
51020,38678,20152,18031,29,10,11550,6
1038119,1021851,227136,794090,2541,562,15435,10
43926,33626,19856,13270,23,10,9450,5
50944,41156,18803,21868,27,10,9045,5
812454,795332,181804,612914,1908,436,16257,10
2166685,2150733,458683,1691388,5374,1250,15057,10
1167714,1150362,251341,898401,2850,647,16428,10
34280,27820,19211,8077,5,10,5673,2
47036,36427,19384,16533,31,10,9757,5
41971,32134,18836,12779,21,10,8970,5
1455298,1438804,326607,1111568,3499,841,15564,10
58673,47021,27927,18602,34,10,10818,7
971053,953911,207370,745911,2376,531,16158,10
761968,746027,175765,569642,1798,419,14874,10
798812,776589,179732,596071,1869,445,21272,10
1063511,1047113,241048,805402,2520,627,15496,10
536142,521108,124289,396168,1242,301,14163,10
668493,652437,152581,499305,1552,378,15174,10
50334,38913,19735,18620,38,10,10587,6
633690,617442,142998,473769,1486,355,15386,10
42915,33479,19604,13431,23,10,8638,5
40321,31287,18245,12585,20,10,8244,5
142375,125683,40703,84448,228,61,15861,10
1617696,1586367,354019,1231680,3891,910,30338,10
1527845,1511852,346267,1164944,3672,891,15090,10
935479,919095,208409,709998,2232,531,15526,10
48863,37180,21140,15603,28,10,10826,7
4742948,4717964,348088,4368553,3798,934,23684,10
1225719,1206659,269547,936280,2567,608,17813,10
1081897,1061770,261018,799970,2378,582,19033,10
46803,35876,22293,13107,18,10,9998,5
1488490,1469803,327183,1141738,3470,829,17418,10
2738141,2717646,603210,2113728,6671,1599,19137,10
243478,225028,74576,149595,450,114,17471,10
1224859,1207289,236633,970003,3069,723,16614,10
1597382,1578657,192985,1384866,4363,1087,17508,10
525908,509648,68796,440218,1370,313,15299,10
34280,24905,12859,11635,18,10,8569,5
383873,364016,43122,320450,986,209,19006,10
1247412,1230851,137362,1092873,3501,816,15750,10
332956,317398,58756,257978,800,200,14732,10
570108,546733,66181,480009,1525,345,22556,10
700867,664354,76930,586862,1846,421,35697,10
2468582,2439561,256510,2182369,6868,1548,28042,10
2770005,2715231,279794,2434392,7350,1731,53205,10
624698,605637,81203,523347,1537,374,17585,10
702226,684224,79451,604169,1850,428,17108,10
57489,42022,15246,26329,57,17,14619,9
35670,26271,11999,13764,25,10,8586,5
