2485381,2041200,268671,1769204,6371,1596,96895,376,2111225,1874922,143847,1730637,6634,1596,26912,40
7177864,6451519,675174,5770468,23169,5418,97989,726,7049357,6257976,409642,5847902,23280,5418,15998,40
14342204,13648143,1234861,12402622,49752,11709,72266,1079,16898720,15971877,908065,15063072,49817,11709,15611,40
30922570,29184104,1878260,27289813,73584,17375,72405,1310,27686035,26173850,1380011,24793057,73584,17375,19685,40
7182524,6762635,693756,6060258,24595,5804,59995,759,6672148,6360094,410387,5949338,24608,5804,13712,40
8588286,8173171,783429,7383268,29378,6857,45852,819,8079051,7706432,531190,7174870,29391,6857,12983,40
3179485,2999626,341134,2654683,10484,2515,39842,487,2904648,2756775,196107,2560343,10751,2515,15124,40
139650,111142,30263,80083,261,100,14592,63,147567,125020,19277,105447,355,100,11336,36
4926923,4684594,485311,4194627,16793,3933,33452,619,4533320,4319519,293211,4025968,16821,3933,13879,40
2749181,2599301,301822,2294025,9049,2173,29094,451,2492110,2363384,157102,2205943,9212,2173,15656,40
11560790,11018184,1047516,9963006,41251,9765,40123,980,11079341,10580542,698561,9881641,41251,9765,10379,40
2616996,2479309,293851,2181951,8723,2123,16499,442,2410763,2290036,169380,2120319,8968,2123,9366,40
18118904,17365361,1384170,15972462,58729,13766,48721,1170,15465743,14765366,982621,13782424,58729,13766,10761,40
12730958,12144528,1124299,11012836,45718,10815,26433,1030,12131830,11563270,803357,10759580,45718,10815,10599,40
6320591,5999803,613630,5380959,22010,5254,43159,716,5856056,5583490,361402,5221768,22113,5254,9654,40
12243086,11663868,1079172,10577295,43319,10382,43068,1010,12015156,11482909,782504,10699988,43319,10382,13220,40
9777706,9261413,750501,8504052,26237,6310,39640,789,10120059,9598101,462033,9135703,26242,6310,14962,40
7224180,6816370,597844,6212634,17307,4214,47115,637,6777897,6418198,315349,6102510,17327,4214,16453,40
15622946,14824074,1068448,13746314,38901,9136,45358,947,14912109,14165178,676690,13488182,38990,9136,11993,40
23088724,21926192,1497863,20416195,57803,13512,56161,1160,22204934,21082981,1047875,20034799,57803,13512,12222,40
10461997,9894673,759903,9125945,25851,6043,58806,770,9271950,8870244,443836,8426028,25851,6043,15906,40
148149,112560,32834,78944,267,100,13982,59,148589,118232,17980,99968,378,100,14045,35
12457033,11870793,1109674,10753692,46041,10939,32461,1036,12291862,11744815,809789,10934614,46071,10939,11440,40
8145638,7731587,773988,6951764,28735,6837,45073,820,7647504,7294448,516772,6777339,28735,6837,10159,40
2513927,2363618,284903,2075518,8160,1969,39479,429,2298022,2178269,155151,2022827,8377,1969,15315,40
3240951,3054941,354826,2696470,10779,2700,41099,502,2915007,2766415,200717,2565420,10945,2700,12661,40
8314684,7919251,743734,7169633,30694,7203,23894,839,7992318,7614196,481521,7132360,30711,7203,9585,40
4133552,3916565,429232,3483208,14058,3352,36261,564,3820326,3636816,268555,3367920,14183,3352,10543,40
2230296,2072589,257768,1811868,7373,1782,47024,405,2018498,1912475,140690,1771486,7582,1782,14503,40
138994,109871,26338,82764,282,100,15947,58,138730,115686,17364,98017,373,100,12269,33
12867995,12279752,1154759,11117503,44791,10513,45597,1016,11884405,11339113,796564,10542199,44808,10513,11266,40
16545412,15743288,1406348,14328355,59670,14118,68448,1180,15488250,14766114,1013284,13752435,59670,14118,19647,40
11875509,11315884,1043355,10265430,43331,10214,40466,1006,11303000,10798709,697343,10101053,43343,10214,7771,40
4233423,4018247,430750,3583367,15032,3593,26606,586,4838449,4652743,259262,4393074,15174,3593,7932,40
6494458,6173149,638586,5529315,23204,5591,37103,738,6020657,5737253,400181,5336778,23247,5591,7675,40
12786580,12180846,1129749,11043616,47208,11269,35681,1060,12173913,11624727,820359,10804019,47208,11269,7749,40
13516173,12896458,1155994,11732902,50325,11702,32865,1079,12862147,12290721,808490,11481904,50357,11702,7816,40
3164097,2998858,337025,2658309,11019,2652,25181,504,2918860,2775186,192418,2582474,11165,2652,9971,40
11194215,10676870,984156,9685914,41371,9744,31288,980,10657530,10177085,677521,9499251,41371,9744,8203,40
5844802,5560871,574059,4981920,20788,4902,33311,687,5423091,5171616,343040,4828287,20873,4902,11039,40
3258473,3095620,337598,2754489,11489,2615,24228,504,3002889,2857990,195928,2661780,11555,2615,13975,40
8782001,8359651,814101,7539538,31758,7544,29754,860,8167445,7793476,525942,7267236,31758,7544,6165,40
5648081,5373650,575068,4793810,20280,4823,29326,687,5324886,5073502,350897,4722275,20374,4823,13249,40
4655747,4426569,466446,3955814,16683,3940,25627,614,4340344,4136489,276887,3859321,16818,3940,6077,40
154733,119666,28275,90659,312,100,21457,63,178631,153399,19871,133242,433,100,14273,38
7466211,7101145,704411,6391159,26603,6330,40910,786,6989349,6670061,468034,6201711,26639,6330,7305,40
5659113,5381403,561013,4815632,20101,4707,35308,678,5681500,5428678,344382,5083989,20143,4707,16477,40
14221514,13348238,991538,12349022,37569,8769,46453,929,14296122,13591673,722822,12868142,37574,8769,14475,40
207492,157197,37402,119037,293,100,24985,62,209427,176571,41251,135031,348,100,20292,32
221128,175746,51638,123363,268,100,32308,60,220560,187326,46898,140147,351,100,19955,36
18658426,17726933,1265446,16452779,46989,11039,53527,1047,17840899,16953562,845586,16107593,47007,11039,11608,40
1895467,1766381,191434,1572555,4201,1089,29801,304,1843657,1740143,103419,1636391,4635,1089,11857,40
