4991983,4031283,361786,3657444,5589,1346,162046,346,5219581,4339964,184998,4143557,5791,1346,64260,40
3092499,2510915,296804,2210882,3289,816,77456,258,2875510,2362328,125572,2236170,3483,816,30753,40
896652,674268,98944,573739,866,252,49521,120,939188,737928,48315,687723,1043,252,45578,40
67600,35237,15724,19187,25,10,10212,12,57003,32960,14938,17707,25,10,7123,12
49541,22427,8600,13486,15,10,8773,8,42930,19969,6210,13460,15,10,6031,8
2383792,1925165,215034,1707223,2598,661,67376,224,6416529,5927250,103953,5821885,2913,661,39144,40
1017016,757045,109099,646049,1332,381,49773,150,1226660,975981,63171,912382,1652,381,43595,40
1309005,1016484,146380,868048,1540,424,42629,167,1140542,934071,78981,854582,1806,424,20342,40
3340760,2734240,292579,2437873,4715,1172,63550,321,3141347,2618780,133671,2484604,4956,1172,22317,40
3331860,2762066,270145,2488169,4769,1163,63040,319,3181164,2693848,128121,2565282,5065,1163,22550,40
2925759,2347264,252960,2090698,4761,1194,80969,316,2750519,2298072,139466,2157809,5076,1194,17069,40
200403,111911,30575,80609,112,44,44835,31,122330,78280,16218,61605,129,44,19861,26
2073394,1745627,186882,1553027,3179,785,53683,246,1828935,1541871,89948,1451282,3457,785,22845,40
1765493,1444021,171140,1269990,3207,823,50720,253,1666016,1391193,98029,1292615,3467,823,18074,40
1096013,890356,135742,752327,1730,484,39680,189,993197,814995,64375,750094,1941,484,19781,40
2159301,1773136,232336,1537375,3868,1023,60981,290,1971525,1612542,125853,1486148,4184,1023,28663,40
403798,302441,53684,247327,641,205,21477,95,430325,341755,32027,309276,853,205,16828,37
1367922,1077400,157351,917210,2584,661,75859,224,1280544,1054462,100939,952942,2872,661,21935,40
394545,297176,53917,241672,605,197,20692,94,415672,330693,32831,297384,836,197,15878,39
60011,18746,7351,11022,24,10,26633,10,32452,14484,5237,8962,24,10,7264,10
487977,372645,63137,307981,858,254,26779,112,536460,424530,40319,383718,1136,254,18750,40
750459,575361,102218,471180,1322,351,49447,149,735809,591081,46409,544211,1627,351,30433,40
691301,521775,78500,441326,1263,355,49437,144,683722,556543,46953,509028,1532,355,11237,40
1398543,1081204,149611,928828,2634,725,86153,226,1363928,1083606,85678,997394,2990,725,57166,40
2697770,2202778,253693,1945235,5653,1387,65271,352,2520603,2089550,134487,1954546,5959,1387,11616,40
1018714,819604,116913,700571,1991,517,31001,198,979431,797451,65153,731735,2205,517,21066,40
61852,41475,33539,7579,14,10,5398,8,27316,10845,5017,5538,14,10,4896,8
31526,12968,5754,6888,12,10,5396,5,24119,9785,4142,5330,12,10,3959,5
1296039,1048070,141183,904484,2537,666,36304,224,1237845,1005492,78885,926058,2791,666,25627,40
138333,116978,108667,7925,14,10,5574,7,27426,12122,5906,5964,14,10,3868,7
1015174,791143,155255,633573,1723,491,61532,184,963422,781696,82865,698335,2042,491,29600,40
1396735,1133852,197696,933733,2690,667,46678,228,1304516,1073585,117279,955850,2883,667,26436,40
1087911,851664,150160,699495,1923,509,68342,192,992781,802045,84865,716728,2151,509,21332,40
2369511,1949042,334326,1611276,4358,1070,66568,305,2103217,1684370,187322,1496451,4501,1070,67052,40
2177813,1772453,268333,1500492,4375,1113,46550,308,2047976,1697481,170732,1526268,4622,1113,11210,40
38419,16707,7376,9014,20,10,6244,9,27985,12652,5301,7054,20,10,4566,9
197451,139731,44038,94916,234,75,23406,50,198630,144677,27511,116735,301,75,22767,35
4333684,3910106,289001,3617665,4762,1212,29284,320,2448685,2044356,174815,1869141,5045,1212,13071,40
37777,14046,7408,6329,12,10,5810,7,25110,10074,4644,5171,12,10,4179,7
35621,16741,7391,9025,21,10,4637,10,28651,13422,5867,7298,21,10,4627,10
1285069,1036201,175419,858450,2497,629,33235,219,1157332,943388,101506,841463,2658,629,13494,40
1689486,1466102,231293,1231948,3661,967,46417,273,1565300,1451646,142880,1308378,4108,967,10249,40
1735389,1593226,238558,1351874,4064,979,33347,291,1627251,1513360,139388,1373594,4363,979,10251,40
