4026787,3900510,623476,3275204,6634,1596,117860,10
14071227,13938114,1122741,12812869,23280,5418,117136,10
29933965,29864453,1996997,27865623,49817,11709,65716,10
24581049,24514279,1685930,22825974,73584,17375,64424,10
7887865,7825234,561500,7262030,24608,5804,60998,10
9308651,9268446,509979,8757452,29391,6857,36747,10
3271690,3240578,222738,3016993,10751,2515,30048,10
189802,158630,28525,129555,394,100,30213,10
4614058,4583999,298498,4284716,16821,3933,29025,10
4558512,4507709,181810,4325060,9212,2173,49735,10
10572582,10511885,821501,9689335,41251,9765,58656,10
2877740,2849729,206491,2642540,8968,2123,26705,10
15222093,15171555,1028031,14141815,58729,13766,49232,10
12288097,12236446,851556,11383029,45718,10815,50290,10
6400327,6353375,429298,5922698,22113,5254,45761,10
15756939,15689863,994676,14692415,43319,10382,64832,10
9294313,9249862,593016,8650251,26242,6310,43089,10
6030173,6001850,374016,5626387,17327,4214,27153,10
13456648,13401514,777753,12621635,38990,9136,53369,10
17366800,17304534,1166409,16135734,57803,13512,60656,10
6011052,5989924,446482,5541814,25851,6043,19808,10
143968,125503,26248,98357,423,100,17404,10
10725495,10706246,763218,9941976,46071,10939,18289,10
6624784,6606713,489585,6116050,28735,6837,17095,10
1981166,1963077,151693,1810424,8377,1969,17161,10
2571541,2553940,201262,2351754,10945,2700,16703,10
7136201,7118464,516346,6601011,30711,7203,16736,10
3353971,3335680,286652,3048021,14183,3352,17324,10
1796370,1770422,137662,1631778,7582,1782,25014,10
132861,118157,21195,96175,420,100,13824,10
10291536,10275872,744432,9530390,44808,10513,14663,10
13768715,13752057,991009,12759977,59670,14118,15778,10
11717082,11692037,721319,10969083,43343,10214,23501,10
3568352,3551700,304245,3246335,15174,3593,15542,10
5444139,5428226,459681,4967417,23247,5591,14882,10
11031286,11015772,941410,10073293,47208,11269,14511,10
11540371,11524687,828222,10695430,50357,11702,14748,10
2560802,2546089,202044,2343102,11165,2652,13740,10
9503163,9485405,667694,8816623,41371,9744,16819,10
4814573,4799280,354410,4443878,20873,4902,14327,10
2650678,2635979,196032,2438875,11555,2615,13753,10
7245875,7210063,515759,6693281,31758,7544,34886,10
4739642,4724964,374726,4349183,20374,4823,13685,10
3887028,3871985,286321,3584623,16818,3940,14106,10
143872,130127,22089,107229,465,100,12856,10
7873620,7853382,452820,7399493,26639,6330,19275,10
6094380,6073083,487915,5583987,20143,4707,20447,10
12738692,12709165,818781,11888522,37574,8769,28327,10
202698,185688,39050,145519,426,100,16012,10
176629,160488,24236,135546,387,100,15296,10
15782139,15750643,873159,14875429,47007,11039,29839,10
1628034,1606326,124318,1481020,4635,1089,20279,10
4965522,4946586,292639,4652887,14888,3537,18061,10
10199563,10168609,634341,9532199,30464,7132,29410,10
9805353,9774523,580042,9192783,29129,6820,29199,10
3373736,3354600,215257,3138078,9867,2356,18120,10
5537473,5514806,318104,5195739,16581,3895,21725,10
10659196,10631055,601597,10028018,31970,7363,26686,10
2625538,2607623,171378,2435116,7546,1793,16755,10
3096486,3078756,177327,2900374,9068,2093,16774,10
170925,153911,24088,129002,376,100,16239,10
182615,164127,22153,141199,425,100,17648,10
229615,211955,52856,158402,392,100,15533,10
18305214,18276716,1022345,17252468,49788,11765,27152,10
10758324,10740554,851634,9887448,47026,11116,16455,10
6006434,5990528,461049,5528314,26431,6343,14928,10
1694814,1679495,134836,1543682,7189,1697,14407,10
8427116,8412043,700902,7710184,36575,8714,14286,10
2755825,2740823,225245,2514705,11997,2830,14084,10
3585400,3570704,259950,3309782,15600,3665,13861,10
138962,124424,22222,101414,445,100,13808,10
3904883,3890921,299891,3589994,17252,4003,13133,10
440307,427270,46558,379895,1769,468,12243,10
129510,114634,19355,94527,417,100,14073,10
5861361,5846873,455747,5390106,25404,6038,13645,10
13359771,13339299,1003621,12331024,58117,13813,19570,10
135051,120282,23146,96381,411,100,13951,10
5218897,5204807,384384,4819531,22901,5394,13261,10
4233847,4219465,308520,3909967,18457,4378,13613,10
8303450,8284426,599051,7683530,36114,8541,18197,10
2070403,2054913,185453,1868859,8745,2092,14476,10
5025558,5009418,369541,4639156,21996,5153,15237,10
8510175,8495192,599489,7894981,37351,8761,14104,10
140443,118450,20214,97710,411,100,21040,10
5333362,5296882,393436,4902749,23467,5519,35581,10
128144,113614,21625,91515,406,100,13726,10
10486279,10471598,846779,9624155,45508,10848,13851,10
15132089,15117305,1234312,13882296,66233,15554,13886,10
6021809,6007037,502246,5504005,25714,6035,13870,10
151223,138294,27237,110591,424,100,12061,10
9225497,9211077,660775,8549556,41099,9733,13516,10
135658,122847,20035,102328,470,100,11943,10
8826591,8805324,625872,8178749,39245,9180,20331,10
6986695,6968360,514812,6452724,27797,6538,17260,10
2387689,2307906,179042,2123011,10237,2388,78896,10
1740941,1729012,134235,1594620,7327,1779,11190,10
148754,136550,23682,112718,480,117,11543,10
4853359,4841995,367763,4474018,21329,4986,10673,10
5079812,5069039,425260,4643598,22335,5329,10086,10
120479,108154,19943,88069,365,100,11695,10
4864431,4844905,418561,4426128,21147,5014,18815,10
7630489,7619757,556062,7063496,33968,8060,9986,10
123493,112569,19335,93111,420,100,10315,10
9052530,9039877,644648,8395025,40266,9460,11947,10
9314541,9303851,718080,8585636,41396,9721,10014,10
502847,491814,50852,440839,2086,480,10380,10
899629,889494,74732,814632,3924,906,9538,10
125153,113693,18827,94725,429,100,10849,10
122587,111097,17115,93860,416,100,10919,10
4015633,4004716,292093,3712426,17640,4154,10211,10
3184048,3173359,247029,2926237,13818,3256,10029,10
9128520,9116132,652959,8462994,40471,9630,11684,10
1324305,1311528,101461,1209946,5714,1314,12092,10
128028,117302,19532,97647,434,100,10079,10
18288285,18277606,1610125,16667349,80222,18804,10011,10
6223301,6212609,516891,5695552,27104,6442,9992,10
10982137,10960745,781921,10178644,48639,11499,20669,10
12566634,12555700,1034354,11521166,55111,13090,10218,10
12559390,12547139,981748,11565195,54884,12890,11553,10
3771371,3759560,286337,3473040,16762,3909,11064,10
11767281,11756889,955261,10801451,52087,12268,9710,10
8229910,8216601,481893,7734565,29488,7027,12571,10
16143524,16123725,831177,15292064,50782,11873,19034,10
211193,199318,39885,159218,482,100,10980,10
15782047,15760353,981592,14778313,47251,11055,20920,10
6521248,6504765,437447,6066978,19741,4580,15310,10
7945254,7919011,560942,7357684,23751,5572,19211,10
9724317,9695280,623708,9071316,29329,6959,17602,10
4611394,4597841,286136,4311400,13843,3266,12459,10
12654756,12635309,736599,11898305,38349,9221,18607,10
4021197,4008022,284242,3723580,11940,2864,12134,10
179138,165454,23918,141422,442,100,13091,10
171387,157288,18903,138265,441,100,13656,10
14855838,14835662,901425,13933773,45158,10811,19409,10
9928244,9909893,673068,9236307,29737,7057,17371,10
14323316,14281758,844817,13436397,43517,10340,40486,10
2893364,2878655,187140,2691303,8476,2031,13711,10
176327,162959,26550,136272,424,100,12481,10
1243758,1231300,84346,1146817,3750,870,11965,10
15176898,15144144,933500,14210124,45839,10899,32046,10
188473,176924,34548,142200,425,100,10673,10
17023277,17004510,1090801,15913266,51858,12234,17647,10
15130982,15113109,880354,14232380,45846,10873,16827,10
15762025,15743547,1022870,14720227,47256,11053,16941,10
11697657,11680358,794268,10885656,35282,8387,16054,10
15733232,15717093,833717,14883095,45159,10645,15140,10
125541,116965,30365,86504,402,100,7921,10
1609213,1601039,123980,1476933,7473,1762,7670,10
6860933,6852253,520534,6331520,30815,7450,8126,10
119295,110169,18152,91902,414,100,8638,10
8754702,8746317,628791,8117347,39720,9216,7793,10
133459,111673,17489,94072,436,100,21333,10
3248906,3240831,271817,2968839,14547,3397,7548,10
6148121,6139889,450545,5689139,27627,6528,7667,10
6655224,6645832,482505,6163146,29727,6991,8803,10
11755533,11747177,843980,10903012,52235,12466,7781,10
4326730,4318425,317415,4000839,18810,4532,7763,10
10386830,10378739,850090,9528464,45738,10744,7552,10
139310,132165,18206,113846,547,100,6742,10
10565809,10557579,764479,9792946,47321,11180,7748,10
8815491,8807361,739321,8067851,38745,9114,7595,10
